id_type,type
230,ALCOHOL AEROSOL
231,GEL DE DUCHA
232,ANTI EDAD
233,SOMBRAS DE OJOS
234,COSMÉTICOS
235,GEL
236,COPA MENSTRUAL
237,EAU DE COLOGNE
238,PROTECTORES SOLARES
239,ARENA SANITARIA
240,ALIMENTO HÚMEDO
241,"ARENAS, HIGIENE Y ACCESORIOS"
242,GALLETAS Y SNACK
243,ALIMENTO SECO
244,ALIMENTOS ADULTOS
245,ALIMENTOS RAZAS PEQUEÑAS
246,SNACKS Y SALSAS
247,ALIMENTOS CACHORROS
248,ALIMENTOS SENIOR
249,CARBÓN
250,FILM Y PAPEL ALUMINIO
251,BOLSAS MULTIUSO
252,BOLSAS TÉRMICAS Y HERMÉTICAS
253,AMPOLLETAS LED
254,HERVIDORES
255,CINTA BI ADHESIVA
256,PACK LIMPIEZA
257,SILICONAS
258,SANDWICHERAS
259,PILAS Y LINTERNAS
260,RENOVADOR DE NEUMÁTICOS
261,ALARGADORES
262,ADAPTADOR DE ENCHUFES
263,CERAS PARA AUTOS
264,INSECTICIDAS
265,GANCHOS
266,COLGADORES DE ROPA
267,CAMARONES
268,REINETA
269,MERLUZA
270,SALMÓN
271,HAMBURGUESA DE SALMÓN
272,ATÚN
273,HAMBURGUESA DE MERLUZA
274,KANIKAMA
275,CROQUETA DE SALMÓN
276,CROQUETAS DE MERLUZA
277,JUREL
278,CARPACCIO DE SALMÓN
279,ANILLOS DE CALAMAR
280,PAILA MARINA
281,CARPACCIO DE VACUNO
282,ALBACORA
283,PIZZA PEPPERONI
284,EMPANADAS DE HORNO
285,PIZZA ESPAÑOLA
286,PIZZETA MIX
287,PIZZA AMERICANA
288,PASTAS PREPARADAS
289,ÑOQUIS
290,PIZZA 4 QUESOS
291,LASAÑA MIX QUESOS
292,MOTE CON HUESILLOS
293,PROFITEROLES
294,LASAÑA BOLOGNESA
295,LECHE DE ALMENDRA
296,PROTEÍNA VEGETAL
297,LECHE DE COCO
298,LECHE DE SOYA
299,LECHE DE AVENA
300,LECHE DE ARROZ
301,BEBIDA LÁCTEA
302,LECHE ENTERA
303,MANTEQUILLA
304,LECHE DESCREMADA
305,YOGHURT
306,JALEAS
307,HUEVO DE GALLINA
308,POSTRES ÚNICOS/ESPECIALES
309,MARGARINA
310,FLAN
