id_supermarket,id_product,normal_price,sale_price,url_product,date,available
0,48,1879.0,,https://www.santaisabel.cl/salchichas-premium-rda-250-g-2/p,2022-10-04,Yes
0,49,1659.0,,https://www.santaisabel.cl/salame-italiano-pf-100-g/p,2022-10-04,Yes
0,50,2140.0,,https://www.santaisabel.cl/pechuga-de-pavo-cocida-sopraval-granel/p,2022-10-04,Yes
0,51,1096.0,,https://www.santaisabel.cl/queso-mant-laminado-kg-cuisine-and-co-1923720-kg/p,2022-10-04,Yes
0,52,2919.0,,https://www.santaisabel.cl/queso-ranco-colun-laminado-al-vacio-250-g-2/p,2022-10-04,Yes
0,53,,829.0,https://www.santaisabel.cl/pate-sabor-ternera-receta-del-abuelo-125-g/p,2022-10-04,Yes
0,54,5749.0,,https://www.santaisabel.cl/queso-mant-laminado-500g-cuisine-and-co-1923719/p,2022-10-04,Yes
0,55,3759.0,,https://www.santaisabel.cl/salchichas-receta-del-abuelo-500-g-2/p,2022-10-04,Yes
0,56,1159.0,929.0,https://www.santaisabel.cl/salchichas-san-jorge-250-g/p,2022-10-04,Yes
0,57,4799.0,,https://www.santaisabel.cl/longaniza-schwencke-500-g-1461090/p,2022-10-04,Yes
0,58,1080.0,,https://www.santaisabel.cl/jamon-centenario-colonial-kg-1898857-kg/p,2022-10-04,Yes
0,59,1889.0,,https://www.santaisabel.cl/quesillo-soprole-sin-lactosa-zerolacto-300-g-2/p,2022-10-04,Yes
0,60,740.0,,https://www.santaisabel.cl/jamon-artesanal-san-jorge-granel/p,2022-10-04,Yes
0,61,2479.0,,https://www.santaisabel.cl/queso-fresco-colun-450-g/p,2022-10-04,Yes
0,62,559.0,,https://www.santaisabel.cl/pate-de-jamon-pf-125-g/p,2022-10-04,Yes
0,63,1720.0,,https://www.santaisabel.cl/jamon-de-pavo-ahumado-sopraval-granel/p,2022-10-04,Yes
0,64,1459.0,,https://www.santaisabel.cl/mortadela-jamonada-receta-del-abuelo-150-g/p,2022-10-04,Yes
0,65,2179.0,,https://www.santaisabel.cl/queso-chacra-400-g/p,2022-10-04,Yes
0,66,3599.0,,https://www.santaisabel.cl/chorizo-de-campo-400-g/p,2022-10-04,Yes
0,67,4199.0,,https://www.santaisabel.cl/salchicha-surena-san-jorge-1-kg/p,2022-10-04,Yes
0,68,,829.0,https://www.santaisabel.cl/pate-de-campo-receta-del-abuelo-125-g/p,2022-10-04,Yes
0,69,3299.0,,https://www.santaisabel.cl/queso-mantecoso-rio-bueno-250-g-2/p,2022-10-04,Yes
0,70,2659.0,2349.0,https://www.santaisabel.cl/jamon-pierna-200-g/p,2022-10-04,Yes
0,71,1579.0,1299.0,https://www.santaisabel.cl/queso-mantecoso-alerces-lam-160gr/p,2022-10-04,Yes
0,72,1990.0,,https://www.santaisabel.cl/salchicha-de-pollo-montina-500-g/p,2022-10-04,Yes
0,73,3299.0,,https://www.santaisabel.cl/salchicha-tradicional-1-kg-1898638/p,2022-10-04,Yes
0,74,1890.0,,https://www.santaisabel.cl/jamon-pierna-125-g/p,2022-10-04,Yes
0,75,2679.0,,https://www.santaisabel.cl/queso-mantecoso-granulado-c-y-co-250g/p,2022-10-04,Yes
0,76,1059.0,,https://www.santaisabel.cl/pate-de-ternera-la-preferida-160-g/p,2022-10-04,Yes
0,77,4499.0,3799.0,https://www.santaisabel.cl/chorizo-angus-la-preferida-500-g-8-2/p,2022-10-04,Yes
0,78,3259.0,,https://www.santaisabel.cl/tocino-cortado-la-preferida-180-g/p,2022-10-04,Yes
0,79,1399.0,,https://www.santaisabel.cl/queso-crema-colun-200-g/p,2022-10-04,Yes
0,80,1059.0,,https://www.santaisabel.cl/pechuga-de-pollo-cocida-pf-150-g/p,2022-10-04,Yes
0,81,1040.0,880.0,https://www.santaisabel.cl/jamon-colonial-san-jorge-granel/p,2022-10-04,Yes
