url_product,category,id_supermarket
https://www.santaisabel.cl/bocado-con-salsa-de-berries-120-g-1921242002/p,LÁCTEOS,0
https://www.santaisabel.cl/yoghurt-probiotico-y-vitamina-d-vainilla-120-g-1873528002/p,LÁCTEOS,0
https://www.santaisabel.cl/yoghurt-light-and-fre-skyr-berries-140-g-1921599002/p,LÁCTEOS,0
https://www.santaisabel.cl/chandelle-nestle-caramel-macchia-130gr-302470018/p,LÁCTEOS,0
https://www.santaisabel.cl/chandelle-nestle-chocolate-avell-130gr-302470019/p,LÁCTEOS,0
https://www.santaisabel.cl/yoghurt-goodnes-skyr-natural-endulzado-140-g-1921690001/p,LÁCTEOS,0
https://www.santaisabel.cl/yoghurt-goodnes-skyr-frutilla-140g-1921690002/p,LÁCTEOS,0
https://www.santaisabel.cl/yoghurt-light-and-fre-skyr-durazno-140-g-1921599001/p,LÁCTEOS,0
https://www.santaisabel.cl/semola-maracuya-con-cuchara-135-g-1928560/p,LÁCTEOS,0
https://www.santaisabel.cl/yoghurt-protein-plus-maracuya-190-g-1871251003/p,LÁCTEOS,0
https://www.santaisabel.cl/papas-fritas-corte-americano-42-g/p,DESPENSA,0
https://www.santaisabel.cl/cancha-serrana-180-g-1442815/p,DESPENSA,0
https://www.santaisabel.cl/crema-lista-maggi-de-la-huerta-tomate-albahaca-250g-1898533/p,DESPENSA,0
https://www.santaisabel.cl/arroz-grado-1-grano-largo-y-ancho-3-kg-1024795/p,DESPENSA,0
https://www.santaisabel.cl/cocktail-de-frutas-wasil-560-g-265482/p,DESPENSA,0
https://www.santaisabel.cl/jarro-refri-1-0-l-con-tapa-1837101/p,DESPENSA,0
https://www.santaisabel.cl/lechuga-espanola-hidroponica-unid-1590217/p,FRUTAS Y VERDURAS,0
https://www.santaisabel.cl/choclo-4-un-260612/p,FRUTAS Y VERDURAS,0
https://www.santaisabel.cl/apio-en-bastones-bolsa-500-g-1772588/p,FRUTAS Y VERDURAS,0
https://www.santaisabel.cl/ensalada-toscana-bolsa-300-g-1772580/p,FRUTAS Y VERDURAS,0
https://www.santaisabel.cl/ensalada-corazon-de-costina-bolsa-3-un-1772586/p,FRUTAS Y VERDURAS,0
https://www.santaisabel.cl/pechuga-deshuesada-de-pollo-sin-piel-850-g-1845767/p,CARNICERÍA,0
https://www.santaisabel.cl/lomitos-fiesta-900-g-1561195/p,CARNICERÍA,0
https://www.santaisabel.cl/filete-pechuga-de-pavo-800-g-1800307/p,CARNICERÍA,0
https://www.santaisabel.cl/www-quix-lavaloza-concentrado-limon-750ml/p,LIMPIEZA,0
https://www.santaisabel.cl/lavaloza-concentrado-piel-sensible-500-ml-1366064/p,LIMPIEZA,0
https://www.santaisabel.cl/toallitas-wipes-virutex-des-fresh-24un-1921257/p,LIMPIEZA,0
